"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OTOA",4.72010944446724,0.626263221093746,1.23808860206447,0.0940891269290468,0.17524209477726
"RP11-645C24.5",8.29096588307662,-0.215594681175168,0.824756582164374,0.665389944820844,0.766741295626888
"NPIPB4",67.2672333323163,0.330431146767451,0.799599389565226,0.529441941613487,0.6547058378902
"UQCRC2",3537.66712847966,0.423070473150006,0.383389975736658,0.234738631310594,0.360631160233933
"C16orf52",328.666689819946,0.0104500515104394,0.424170224608878,0.982630490470317,0.9900046216152
"RP11-101E7.2",2.28817994355809,-0.220657481416533,1.05054687246,0.227873315519551,NA
"SDR42E2",2.48378811743094,0.347242631773889,1.03087149712921,0.313915053679573,NA
"EEF2K",551.278307684371,-0.359090251442188,0.31137187350932,0.224181715548131,0.348305472209248
"RP11-141O15.1",11.9692905193246,-1.46352876899851,1.47402397972666,0.0397813786213783,0.0884303720991716
"POLR3E",1180.51277207012,0.632312695398187,0.389635337402148,0.0785102649475346,0.151952626832291
"CDR2",998.601396818507,-0.818065956430502,0.367859623446939,0.0165681304445383,0.0429420352538891
"RP11-21M24.3",2.56502095071293,-0.420176412052444,1.08414385007982,0.223413754648506,NA
"NPIPB5",318.61031424772,0.688770338105252,0.770269665652772,0.213378746290859,0.33537337460882
"HS3ST2",32.9550318411699,1.97695805426877,1.49066683220729,0.0168907761146845,0.0436775998710902
"USP31",486.794225641887,0.27465651455146,0.336621803626671,0.388428980620439,0.523276723181197
"SCNN1G",90.3389407429222,8.79856241734826,2.72667261637154,6.21016624872692e-08,6.04877589683797e-07
"SCNN1B",4.84564517436577,0.697443952696963,1.35520546217719,0.03822532414569,0.0856697082259303
"COG7",365.680528056877,-0.414520388779195,0.349616788470427,0.204788942268872,0.324509210906105
"CTD-2270L9.4",9.3111651793388,-0.83130385049395,1.02942811703304,0.152263125277309,0.258026905024378
"GGA2",2193.61300090551,1.42723236775384,0.475772579665671,0.000851864001765102,0.00339199499596153
"EARS2",1143.77394067522,1.13687928847409,0.39585670811473,0.00184096770786766,0.0066698144995862
"UBFD1",2229.7358322422,0.0991190271577127,0.299222352613967,0.734157928728071,0.820087000174976
"NDUFAB1",1459.26861082129,0.213819159622521,0.461499611259365,0.607965803502713,0.720984596931539
